,PassengerId,Age,Fare,Survived,Sex,SibSp,Parch,Pclass1,Pclass2,Pclass3,Cherbourg,Queenstow,Southampton
0,-1.730107956920867,-0.5924805998028931,-0.5024451714361923,0,0,1,0,0,0,1,0,0,1
1,-1.7262200738716067,0.6387890120425208,0.7868452935884461,1,1,1,0,1,0,0,1,0,0
2,-1.7223321908223463,-0.2846631968415396,-0.4888542575852486,1,1,0,0,0,0,1,0,0,1
3,-1.718444307773086,0.40792595982150565,0.4207302360686478,1,1,1,0,1,0,0,0,0,1
4,-1.7145564247238256,0.40792595982150565,-0.4863374216869257,0,0,0,0,0,0,1,0,0,1
5,-1.7106685416745653,0.0,-0.47811642890864375,0,0,0,0,0,0,1,0,1,0
6,-1.7067806586253047,1.8700586238879346,0.395813560675251,0,0,0,0,1,0,0,0,0,1
7,-1.7028927755760443,-2.1315676146096605,-0.22408312108167944,0,0,3,1,0,0,1,0,0,1
8,-1.699004892526784,-0.20770884610120124,-0.4242561406845337,1,1,0,2,0,0,1,0,0,1
9,-1.6951170094775236,-1.2081154057256,-0.04295550208861426,1,1,1,0,0,1,0,1,0,0
10,-1.6912291264282633,-1.9776589131289837,-0.312172377522981,1,1,1,1,0,0,1,0,0,1
11,-1.687341243379003,2.177876026849288,-0.11384570873513637,1,1,0,0,1,0,0,0,0,1
12,-1.6834533603297426,-0.7463893012835698,-0.4863374216869257,0,0,0,0,0,0,1,0,0,1
13,-1.6795654772804822,0.7157433627828591,-0.01870931177853076,0,0,1,5,0,0,1,0,0,1
14,-1.6756775942312219,-1.2081154057256,-0.4902797934380587,0,1,0,0,0,0,1,0,0,1
15,-1.6717897111819615,1.947012974628273,-0.3262666585535892,1,1,0,0,0,1,0,0,0,1
16,-1.667901828132701,-2.1315676146096605,-0.06199888922968463,0,0,4,1,0,0,1,0,1,0
17,-1.6640139450834406,0.0,-0.3866707201133388,1,0,0,0,0,1,0,0,0,1
18,-1.6601260620341802,0.1001085568601522,-0.2859972841804228,0,1,1,0,0,0,1,0,0,1
19,-1.6562381789849199,0.0,-0.5029485386158568,1,1,0,0,0,0,1,1,0,0
20,-1.6523502959356595,0.40792595982150565,-0.12491978668775715,0,0,0,0,0,1,0,0,0,1
21,-1.6484624128863992,0.3309716090811673,-0.3866707201133388,1,0,0,0,0,1,0,0,0,1
22,-1.6445745298371388,-1.1311610549852615,-0.4867562231804066,1,1,0,0,0,0,1,0,1,0
23,-1.6406866467878785,-0.1307544953608629,0.06635974158478332,1,0,0,0,1,0,0,0,0,1
24,-1.636798763738618,-1.6698415101676303,-0.22408312108167944,0,1,3,1,0,0,1,0,0,1
25,-1.6329108806893577,0.6387890120425208,-0.016444159470040135,1,1,1,5,0,0,1,0,0,1
26,-1.6290229976400974,0.0,-0.5029485386158568,0,0,0,0,0,0,1,1,0,0
27,-1.6251351145908368,-0.8233436520239081,4.647001076532463,0,0,3,2,1,0,0,0,0,1
28,-1.6212472315415765,0.0,-0.48977642625839407,1,1,0,0,0,0,1,0,1,0
